"","cell","trait","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"1","Pattern_11","Demontis 2023 -  Attention Deficit Hyperactivity Disorder",0.214497226949887,0.248889733884901,0.0133583558467236,1.16034010054149,0.0622775223562428,0.0101481896944627,3.05680962383444e-09,1.43026984659531e-09,2.13722580470464,0.0325796301699723,0.233991990663147
"2","Pattern_11","Grove 2019  - Autism Spectrum Disorder",0.214497226949887,0.210713832413934,0.0273840143239945,0.982361569006035,0.127666052906093,0.889639947711043,-2.39163543535613e-09,5.08052871206743e-09,-0.470745383187274,0.637822571382844,0.845180526688378
"3","Pattern_11","Chambers_total_cerebellar_volume",0.214497226949887,0.34479696409544,0.0244351126714869,1.6074658353322,0.113918081920918,4.14615347598814e-08,2.35751535700645e-08,9.52781765111173e-09,2.47434978641868,0.0133478939119768,0.152592491348752
"4","Pattern_11","Davies reaction time",0.214497226949887,0.241927913857056,0.0130048225269811,1.12788364351945,0.0606293270636055,0.0387296208450217,1.19090620796503e-09,1.18707699721161e-09,1.00322574758201,0.315751952713141,0.640790727564903
"5","Pattern_11","Gui_age_onset_walking",0.214497226949887,0.238134166330794,0.0165443494814046,1.11019694621241,0.0771308315574161,0.152661503792472,6.7211354133034e-09,4.02418828311769e-09,1.67018413166699,0.0948829385830632,0.38270112180058
"6","Pattern_11","Huang_neurodev_disorders",0.214497226949887,0.256173796526454,0.135606222657525,1.19429887355282,0.632205015355312,0.755180708966273,1.71133031521638e-09,5.93206299362314e-09,0.288488223583605,0.772973043737509,0.914974207896564
"7","Pattern_11","Lee_cognitive_performance",0.214497226949887,0.260364599925401,0.0100981878488857,1.21383667112037,0.0470784074576634,7.5970207507173e-06,9.74944322166445e-10,4.27910585388469e-10,2.2783832778555,0.0227037518253678,0.197200717058474
"8","Pattern_11","Lee_educ_attainment",0.214497226949887,0.244127487244978,0.00776975429465637,1.13813819747895,0.036223099035549,0.000176187815492223,1.3450074144255e-09,5.49915438802909e-10,2.44584406895977,0.0144513486362172,0.155111142028732
"9","Pattern_11","Alzheimers Disease	0.21449722694988665	0.4077688293226299	0.06405300316660849	1.9010447599767695	0.2986192599197252	0.0008291556336437099	1.2319509435157034e-09	4.141014706773363e-09	0.2974997749949136
Pattern_11	Anorexia Nervosa	0.21449722694988665	0.20784928098104027	0.027517523190049808	0.9690068442218157	0.12828847990878117	0.8087931153337304	-1.1024535581948388e-09	6.690733889530362e-09	-0.1647731887708095
Pattern_11	Autism Spectrum Disorder	0.21449722694988665	0.208363191094906	0.027030130896383408	0.97140272654241	0.1260162253878392	0.8190095786956133	6.098475309683772e-09	1.760480337578099e-08	0.3464097371330755
Pattern_11	Bipolar Disorder	0.21449722694988665	0.2291964344487248	0.03260471696723678	1.068528659823991	0.1520053076250458	0.6530264981544789	-1.3006468789084804e-08	1.415358465876576e-08	-0.9189522727042502
Pattern_11	Body Mass Index	0.21449722694988665	0.25731275187873337	0.014945401781112002	1.1996087573609975	0.06967643355409775	0.004790836816317774	2.273490334734675e-09	2.6836884880546047e-09	0.8471513533907652
Pattern_11	Celiac Disease	0.21449722694988665	0.23246400392801111	0.04459245669596644	1.0837622809096832	0.2078929286409127	0.6820580262824489	-4.713586091853237e-08	1.605433048510052e-08	-2.9360215900798585
Pattern_11	Coronary Artery Disease	0.21449722694988665	0.3163965686965747	0.04296014995610385	1.4750613478583336	0.2002830086290146	0.019479480826798005	-1.851779032955298e-09	3.326488262811847e-09	-0.5566768575909563
Pattern_11	Crohns Disease",0.214497226949887,0.33193871779478,0.0285134513271804,1.54751985615334,0.132931561552737,1.09508269179511e-05,1.92093483814253e-09,1.34968395641695e-08,0.142324788629932,0.886823467335125,0.956834056000454
"10","Pattern_11","Depressive Symptoms",0.214497226949887,0.197905084610581,0.0261191751487055,0.922646355035711,0.121769290541028,0.524445022154592,3.59696630950503e-10,1.19778666727358e-09,0.300301080967323,0.763947508772257,0.913689028313678
"11","Pattern_11","Ever Smoked",0.214497226949887,0.194113406512689,0.0294416451065037,0.904969305538108,0.137258861222398,0.487633028822548,-1.17549727415253e-09,2.82900648296313e-09,-0.415515935092979,0.677764252301751,0.872023753566259
"12","Pattern_11","Fasting Glucose",0.214497226949887,0.267476208105861,0.0411048033397495,1.2469914502361,0.191633262230252,0.19615267414037,-7.69761208979187e-09,4.33716045506655e-09,-1.77480454540245,0.0759301655696559,0.357797755806281
"13","Pattern_11","HDL Cholesterol",0.214497226949887,0.32332551797975,0.0306282486885529,1.50736455933432,0.142790884171704,0.000485052816601575,-3.96810050712298e-09,3.86233665812448e-09,-1.02738338429821,0.304239972320077,0.630677710860932
"14","Pattern_11","Height",0.214497226949887,0.295352038925097,0.0161052963633713,1.37695038357816,0.0750839374120862,2.48775131949213e-06,-6.1054806561545e-09,3.56045080250764e-09,-1.7148055105422,0.0863808908969667,0.378430569643854
"15","Pattern_11","Inflammatory Bowel Disease",0.214497226949887,0.304756719499531,0.0255000944973342,1.42079561509078,0.118883096345538,0.00111304725255015,-1.56020874891034e-08,9.25354801800461e-09,-1.68606543768362,0.0917831961212112,0.3786993611062
