cell	trait	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Pattern_11	Demontis 2023 -  Attention Deficit Hyperactivity Disorder	0.21449722694988665	0.24888973388490135	0.013358355846723648	1.1603401005414857	0.06227752235624279	0.010148189694462668	3.0568096238344415e-09	1.4302698465953077e-09	2.137225804704642
Pattern_11	Grove 2019  - Autism Spectrum Disorder	0.21449722694988665	0.21071383241393415	0.02738401432399445	0.9823615690060347	0.12766605290609293	0.8896399477110429	-2.3916354353561292e-09	5.080528712067431e-09	-0.47074538318727377
Pattern_11	Chambers_total_cerebellar_volume	0.21449722694988665	0.3447969640954396	0.024435112671486885	1.607465835332198	0.1139180819209178	4.146153475988139e-08	2.3575153570064453e-08	9.527817651111726e-09	2.4743497864186828
Pattern_11	Davies reaction time	0.21449722694988665	0.24192791385705628	0.013004822526981102	1.1278836435194488	0.06062932706360554	0.038729620845021726	1.1909062079650307e-09	1.1870769972116119e-09	1.0032257475820132
Pattern_11	Gui_age_onset_walking	0.21449722694988665	0.23813416633079412	0.016544349481404562	1.1101969462124086	0.07713083155741611	0.15266150379247206	6.721135413303399e-09	4.024188283117685e-09	1.6701841316669932
Pattern_11	Huang_neurodev_disorders	0.21449722694988665	0.25617379652645356	0.13560622265752503	1.1942988735528215	0.6322050153553125	0.7551807089662728	1.7113303152163836e-09	5.9320629936231414e-09	0.28848822358360526
Pattern_11	Lee_cognitive_performance	0.21449722694988665	0.26036459992540134	0.010098187848885672	1.2138366711203719	0.047078407457663445	7.597020750717304e-06	9.749443221664453e-10	4.2791058538846924e-10	2.2783832778554975
Pattern_11	Lee_educ_attainment	0.21449722694988665	0.24412748724497785	0.007769754294656367	1.1381381974789528	0.03622309903554897	0.00017618781549222332	1.3450074144255014e-09	5.499154388029088e-10	2.4458440689597656
Pattern_11	Alzheimer's Disease	0.21449722694988665	0.4077688293226299	0.06405300316660849	1.9010447599767695	0.2986192599197252	0.0008291556336437099	1.2319509435157034e-09	4.141014706773363e-09	0.2974997749949136
Pattern_11	Anorexia Nervosa	0.21449722694988665	0.20784928098104027	0.027517523190049808	0.9690068442218157	0.12828847990878117	0.8087931153337304	-1.1024535581948388e-09	6.690733889530362e-09	-0.1647731887708095
Pattern_11	Autism Spectrum Disorder	0.21449722694988665	0.208363191094906	0.027030130896383408	0.97140272654241	0.1260162253878392	0.8190095786956133	6.098475309683772e-09	1.760480337578099e-08	0.3464097371330755
Pattern_11	Bipolar Disorder	0.21449722694988665	0.2291964344487248	0.03260471696723678	1.068528659823991	0.1520053076250458	0.6530264981544789	-1.3006468789084804e-08	1.415358465876576e-08	-0.9189522727042502
Pattern_11	Body Mass Index	0.21449722694988665	0.25731275187873337	0.014945401781112002	1.1996087573609975	0.06967643355409775	0.004790836816317774	2.273490334734675e-09	2.6836884880546047e-09	0.8471513533907652
Pattern_11	Celiac Disease	0.21449722694988665	0.23246400392801111	0.04459245669596644	1.0837622809096832	0.2078929286409127	0.6820580262824489	-4.713586091853237e-08	1.605433048510052e-08	-2.9360215900798585
Pattern_11	Coronary Artery Disease	0.21449722694988665	0.3163965686965747	0.04296014995610385	1.4750613478583336	0.2002830086290146	0.019479480826798005	-1.851779032955298e-09	3.326488262811847e-09	-0.5566768575909563
Pattern_11	Crohn's Disease	0.21449722694988665	0.3319387177947798	0.028513451327180354	1.547519856153344	0.13293156155273747	1.0950826917951099e-05	1.9209348381425295e-09	1.3496839564169537e-08	0.14232478862993175
Pattern_11	Depressive Symptoms	0.21449722694988665	0.1979050846105806	0.026119175148705542	0.922646355035711	0.12176929054102788	0.5244450221545924	3.5969663095050253e-10	1.1977866672735777e-09	0.30030108096732294
Pattern_11	Ever Smoked	0.21449722694988665	0.19411340651268888	0.02944164510650366	0.9049693055381081	0.1372588612223978	0.4876330288225481	-1.1754972741525267e-09	2.8290064829631346e-09	-0.415515935092979
Pattern_11	Fasting Glucose	0.21449722694988665	0.26747620810586076	0.04110480333974948	1.2469914502360988	0.19163326223025187	0.1961526741403701	-7.697612089791868e-09	4.337160455066555e-09	-1.774804545402447
Pattern_11	HDL Cholesterol	0.21449722694988665	0.3233255179797504	0.03062824868855291	1.5073645593343241	0.1427908841717037	0.0004850528166015747	-3.968100507122982e-09	3.86233665812448e-09	-1.0273833842982139
Pattern_11	Height	0.21449722694988665	0.2953520389250972	0.016105296363371335	1.376950383578156	0.07508393741208617	2.4877513194921264e-06	-6.105480656154502e-09	3.5604508025076413e-09	-1.7148055105422
Pattern_11	Inflammatory Bowel Disease	0.21449722694988665	0.30475671949953126	0.02550009449733415	1.420795615090782	0.11888309634553822	0.0011130472525501477	-1.560208748910338e-08	9.253548018004611e-09	-1.6860654376836244
