,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9,Pattern_10,Pattern_11,Pattern_12,Pattern_13,Pattern_14,Pattern_15,Pattern_16,Pattern_17,Pattern_18,Pattern_19,Pattern_20,Pattern_21,Pattern_22,Pattern_23,Pattern_24,Pattern_25,Pattern_26,Pattern_27,Pattern_28
MIR1302-2HG,0.000263522,0.000485511,0.000351596,0.000314775,0.000761929,0.000270965,0.000208,0.00074447,0.000391533,0.000222492,0.000260351,0.000483091,0.00031464,0.000148293,0.000240214,0.000164748,8.70E-05,0.000249351,0.000308334,0.000280207,0.000235257,3.94E-05,0.000267045,0.000220802,0.000448228,0.000242273,3.89E-05,0.000118289
AL627309.1,0.000498396,0.003464067,0.002362147,0.004181071,0.011242086,0.006887584,0.000412206,0.001316147,0.001138621,0.00040245,0.0007314,0.002013805,0.001961278,0.002239903,0.001192931,0.000470242,0.000860548,0.001633907,0.001255659,0.007940388,0.000706461,0.000138663,0.000275575,0.001454521,0.000990552,0.000817263,8.28E-05,0.00037874
AL627309.5,0.006899506,0.028154494,0.000931547,0.001240798,0.075890273,0.004521147,0.000496533,0.020935137,0.028528681,0.004603266,0.001194536,0.023957279,0.017522758,0.020475913,0.01605575,0.011239429,0.005879208,0.002038658,0.008993629,0.015420806,0.003196479,0.000470457,0.001161339,0.006956983,0.053435054,0.001695459,0.000359173,0.000847815
AP006222.2,0.000247306,0.000389201,0.000315764,0.000300843,0.000710998,0.000267797,0.000207101,0.000642422,0.000410873,0.00022419,0.00023999,0.000511876,0.000326837,0.000139766,0.000218742,0.000161821,7.97E-05,0.00024375,0.00026937,0.000284825,0.000255965,3.93E-05,0.000247719,0.000236133,0.000426309,0.000253288,4.07E-05,0.000118559
AC114498.1,0.00024239,0.000370414,0.000277735,0.000283346,0.000690019,0.000253623,0.00019761,0.000619387,0.000310019,0.000218954,0.000234651,0.000449899,0.000294599,0.000140298,0.000209977,0.000145777,8.00E-05,0.000226189,0.000252759,0.000258123,0.000213905,4.14E-05,0.000254288,0.000205363,0.000388022,0.000234579,3.88E-05,0.000116416
AL669831.2,0.000235123,0.000390538,0.000306024,0.000342204,0.001313078,0.000290377,0.000189781,0.000670459,0.000350595,0.000248151,0.000252794,0.000627019,0.000291028,0.000145919,0.000222432,0.000152819,7.95E-05,0.000234161,0.000262846,0.000267,0.000237452,4.30E-05,0.00044792,0.000209384,0.000482283,0.000264937,4.19E-05,0.000117402
LINC01409,0.074731179,0.043743461,0.027399991,0.015213695,0.119011298,0.071338721,0.007162171,0.028867381,0.059974849,0.005376799,0.020573592,0.068969183,0.0457596,0.134860203,0.021776196,0.065575533,0.075088605,0.028365497,0.055149488,0.036905807,0.067413814,0.000794663,0.031573754,0.008319537,0.146225497,0.068985321,0.002445888,0.013248484
FAM87B,0.000452649,0.000739793,0.000451236,0.000487126,0.001556689,0.000625708,0.000209015,0.001218931,0.000534525,0.000963845,0.000425594,0.001457515,0.000475347,0.000299218,0.000580828,0.000319276,0.000104668,0.000433714,0.000482502,0.000382236,0.001087945,5.38E-05,0.00040137,0.000777841,0.001219617,0.000516412,7.79E-05,0.000323446
LINC01128,0.129431427,0.218379542,0.165193066,0.197781533,0.362141728,0.153528973,0.003697681,0.097348943,0.300584495,0.031564079,0.01641983,0.163113326,0.098825343,0.184303358,0.088984109,0.191307798,0.171685129,0.132415503,0.096984074,0.134191483,0.121605575,0.031989887,0.045197472,0.065484516,0.36776197,0.211276218,0.019929532,0.039327979
LINC00115,0.009891311,0.004288071,0.019599421,0.018658476,0.071181804,0.01621219,0.000681518,0.019997168,0.007588876,0.002084754,0.002951054,0.020225277,0.019791383,0.046908461,0.002154631,0.000962887,0.010624771,0.010182232,0.002945193,0.017511472,0.027175646,0.002581137,0.005719156,0.002994419,0.079915032,0.017737744,0.00038155,0.000484203
FAM41C,0.000832074,0.006456353,0.003290224,0.002494165,0.014342709,0.004365361,0.00056172,0.002998549,0.005062405,0.000845313,0.001314458,0.014998775,0.004601231,0.002101999,0.001288944,0.000824276,0.000437948,0.001363251,0.002490178,0.004676591,0.007191955,0.000211705,0.001128709,0.004205477,0.000775228,0.004079277,0.000238213,0.001062165
AL645608.6,0.000261901,0.000437466,0.000341242,0.000362987,0.000912482,0.000310472,0.000213679,0.000734737,0.000347623,0.000247044,0.000265075,0.000497684,0.000358987,0.000140339,0.000305463,0.000179608,8.58E-05,0.000247107,0.000284201,0.000269837,0.000351189,4.30E-05,0.000295182,0.000242906,0.000441381,0.000340188,4.57E-05,0.000154201
AL645608.2,0.000275136,0.000438172,0.000392325,0.002985775,0.001425925,0.00036104,0.000259681,0.001424887,0.000405148,0.000337182,0.000334466,0.000878697,0.000360698,0.00017768,0.000283875,0.000205011,8.94E-05,0.000301698,0.000376361,0.000333613,0.000742497,4.84E-05,0.000297282,0.000265207,0.00039115,0.000489117,6.86E-05,0.000178486
AL645608.4,0.000267478,0.000450333,0.000311157,0.000306793,0.000738921,0.000270155,0.000219636,0.000682555,0.000349784,0.000250102,0.000247369,0.000470533,0.000318543,0.000150917,0.000223463,0.000162541,7.97E-05,0.000235581,0.000277432,0.000249494,0.000274331,3.83E-05,0.000267657,0.000202728,0.000409496,0.000237018,3.76E-05,0.000126226
LINC02593,0.000766767,0.028823182,0.003443941,0.006379882,0.038050629,0.001877245,0.004255747,0.016309027,0.002139031,0.002723677,0.004196657,0.033869583,0.012917152,0.001086049,0.000614603,0.000244993,0.000318128,0.010006357,0.000504313,0.001021706,0.001799766,8.53E-05,0.000277581,0.005951451,0.002056529,0.00121379,0.000151795,0.002473748
SAMD11,0.001504757,0.058870133,0.004105409,0.026547629,0.084998049,0.008707286,0.01997041,0.003677203,0.022353766,0.000670918,0.02620847,0.059209265,0.018370485,0.000653572,0.023632929,0.000568119,0.000400289,0.002652634,0.004123981,0.000587877,0.061724395,4.06E-05,0.000168411,0.019547781,0.029408453,0.002299444,0.000355723,0.007416725
NOC2L,0.092247687,0.205643967,0.223906741,0.301549733,0.469322801,0.114991754,0.09557502,0.186637074,0.247760266,0.048014045,0.075761795,0.213506594,0.218326926,0.311044186,0.15982306,0.250331193,0.182424143,0.350554317,0.169132605,0.288991362,0.367047101,0.043957472,0.187999204,0.100630365,0.642238796,0.271359205,0.03225027,0.083004221
KLHL17,0.124357924,0.139299437,0.10731636,0.135920078,0.306104839,0.070866749,0.00839675,0.051976074,0.083647281,0.004054127,0.0163425,0.107870884,0.169180945,0.430440813,0.035440635,0.038574148,0.037107076,0.113418743,0.167795584,0.095410503,0.180035815,0.032886676,0.039671812,0.041636158,0.525042236,0.136763752,0.009366346,0.025053574
PLEKHN1,0.00030489,0.001551062,0.000684469,0.000482986,0.001429362,0.000971222,0.000285494,0.000958541,0.000462677,0.000325193,0.000618622,0.001659483,0.000682769,0.000584855,0.000335057,0.000426723,0.000168409,0.000653714,0.000756235,0.00051674,0.000386232,9.10E-05,0.012646446,0.000311747,0.000900938,0.000697432,5.48E-05,0.000196008
PERM1,0.000403304,0.000786438,0.000472657,0.000746396,0.011338044,0.000687786,0.000215017,0.000879954,0.000433835,0.000261057,0.000359785,0.001306574,0.000464718,0.000223674,0.000309424,0.000222885,9.06E-05,0.000300161,0.000337925,0.00041895,0.000345083,4.83E-05,0.000578454,0.000412294,0.000497482,0.000519661,4.76E-05,0.000158861
AL645608.7,0.046003886,0.023704328,0.00014287,0.026632056,0.034440994,0.00015821,0.000111191,0.043129593,0.031850155,0.044540018,0.001228738,0.196514904,0.06951014,0.010899957,0.000630601,0.000137803,9.76E-05,0.033863585,0.004268313,0.00156962,0.000961503,1.33E-05,0.000819951,0.112222716,0.056182228,0.000193467,2.23E-05,0.000425924
HES4,0.175150037,0.441765189,0.262435466,1.412355065,1.190258384,0.053181075,0.04864639,0.7394104,0.236662343,0.10230042,0.066607341,1.146046996,0.386145055,0.208549544,0.06924241,0.04137003,0.01354014,0.180255666,0.049768645,0.215220302,0.015416602,0.064482279,0.382829696,0.989340186,0.062203549,0.058905203,0.019938078,0.237874895
ISG15,0.006150206,0.094077192,0.019254168,0.007830722,0.174504802,0.00280037,0.106990062,0.721506298,0.533005953,0.389772177,0.019998232,0.196917832,1.046190858,0.003303651,0.400078475,1.46E-05,1.03E-05,0.013928846,0.000117291,0.014764403,0.031255502,1.51E-06,0.177484334,0.041222513,0.320549726,0.003731933,0.003021933,0.155950636
AL645608.1,0.000259081,0.000398956,0.000297056,0.000309661,0.000766451,0.000275051,0.000207767,0.000742388,0.000365301,0.000221182,0.000241239,0.000518472,0.000316872,0.000146301,0.000234863,0.000165544,8.14E-05,0.000235995,0.000262387,0.000259671,0.000250394,3.98E-05,0.000255891,0.000204754,0.000420067,0.000238546,4.14E-05,0.000120401
AGRN,0.036917809,0.105526671,0.123090446,0.572881222,0.479459018,0.03284518,0.078423813,0.899980187,0.060506184,0.008423756,0.126382649,0.512046695,0.15385823,0.026938293,0.006431464,0.114134997,0.001404094,0.101357512,0.075556748,0.136734769,0.14610742,0.002134355,0.033502746,0.289985031,0.024546359,0.061725728,0.003641309,0.109335773
AL645608.5,0.000237224,0.000410617,0.00029418,0.000293515,0.000710125,0.000269397,0.0002055,0.000692945,0.000332363,0.000230401,0.00023476,0.000449514,0.000322884,0.00013721,0.000223116,0.000160683,7.96E-05,0.000239678,0.00028292,0.000271349,0.000247401,4.21E-05,0.00025978,0.000201316,0.000390309,0.000234867,4.01E-05,0.000118554
RNF223,0.000256988,0.000399947,0.000306004,0.000302269,0.000732902,0.000259452,0.000198493,0.000648102,0.000338147,0.000240531,0.000227234,0.000455678,0.000311506,0.000147364,0.000244597,0.000166502,7.68E-05,0.000253081,0.0002714,0.000271517,0.000242976,4.32E-05,0.000258679,0.000206122,0.000427076,0.000232357,4.23E-05,0.00011547
C1orf159,0.106152937,0.093343072,0.078845844,0.104731113,0.334997654,0.052040584,0.017015351,0.048686706,0.207090795,0.001960773,0.032785624,0.162588462,0.178941667,0.255498499,0.017795084,0.084651709,0.0333714,0.058861163,0.035103519,0.075995579,0.249154896,0.012286758,0.029049344,0.019589799,0.091963306,0.048169218,0.004024447,0.022759574
LINC01342,0.000262857,0.000403655,0.00031104,0.000323462,0.001068584,0.000257814,0.000191132,0.000659742,0.000367542,0.000238279,0.000236181,0.000475616,0.00029305,0.000145128,0.00022714,0.000158291,7.88E-05,0.000226188,0.000257973,0.000247064,0.000239336,3.99E-05,0.000245235,0.000207337,0.000401244,0.000243538,4.17E-05,0.000115919
AL390719.2,0.000241256,0.000429002,0.000281354,0.000313785,0.000815887,0.000258975,0.000207426,0.000651214,0.000336205,0.000236356,0.00021575,0.000453274,0.000295072,0.000145309,0.000239493,0.00016845,8.19E-05,0.000221226,0.00025873,0.000282507,0.000229866,4.14E-05,0.000256764,0.000202,0.000399619,0.000253653,3.96E-05,0.000116391
TTLL10-AS1,0.000242977,0.000417298,0.000283286,0.000384128,0.012882777,0.000264991,0.000186423,0.000707147,0.000313668,0.000224689,0.000226085,0.000476507,0.000353798,0.000138151,0.000215438,0.000146684,7.89E-05,0.000214297,0.000249021,0.000250515,0.00025336,4.15E-05,0.00024069,0.000189559,0.000396191,0.000318592,4.08E-05,0.000112464
TTLL10,0.0002389,0.000413125,0.000386121,0.000338767,0.004292063,0.000305067,0.000217972,0.001865924,0.000376862,0.000236491,0.000246622,0.000598723,0.000335998,0.000136476,0.000222327,0.000163037,8.23E-05,0.000252283,0.000274707,0.00027893,0.000531885,4.46E-05,0.000244619,0.000228485,0.000515655,0.000472871,4.82E-05,0.000126884
TNFRSF18,3.21E-05,6.57E-05,0.000321831,0.00020315,0.003474001,6.24E-05,5.38E-05,0.0029187,0.000107199,8.34E-05,2.44E-05,0.000193417,0.001297817,1.57E-05,4.58E-05,2.38E-05,1.85E-06,4.77E-05,2.64E-05,4.23E-05,0.189895511,1.87E-06,3.55E-05,2.72E-05,0.384825915,4.40E-05,9.48E-06,4.28E-05
TNFRSF4,0.000444114,0.002115702,0.002792224,0.000444102,0.001490367,0.005822903,0.000312017,0.121125005,0.000705536,0.000821865,0.000589297,0.00321817,0.018769808,0.006289229,0.000279381,0.001390841,0.001066621,0.002499559,0.001504257,0.010159983,0.003219354,0.000129262,0.007572053,0.000401796,0.04339708,0.001734979,8.05E-05,0.000895144
SDF4,0.349701494,0.18690978,0.148114473,0.539767206,0.60641408,0.0925631,0.279346257,0.678973258,0.793917656,0.17824401,0.144958898,0.548088849,0.47369501,0.644482136,0.187870219,0.327683151,0.46962446,0.313162714,0.491925925,0.463329077,0.859403372,0.227199152,0.462643504,0.398063928,1.060283899,0.131398663,0.090646267,0.245564044
B3GALT6,0.004426656,0.166932523,0.20996964,0.294334501,0.688866913,0.113462567,0.115752026,0.165056676,0.272320211,0.037395988,0.026132211,0.213621348,0.181231663,0.03006174,0.018632239,0.170028493,0.029397098,0.191249967,0.177439719,0.310645014,0.25926578,0.010799165,0.01408244,0.126175612,0.041909929,0.037807606,0.009147053,0.069950454
C1QTNF12,0.019084869,0.012113575,0.000934367,0.008592515,0.027731307,0.005020791,0.000827014,0.024994494,0.006503935,0.000558514,0.001272887,0.011486307,0.005642521,0.010375995,0.000559018,0.000405593,0.001870872,0.005557251,0.001133883,0.005410031,0.00204194,0.000114365,0.001612694,0.001274,0.083746158,0.004965798,9.16E-05,0.000387918
AL162741.1,0.000615149,0.000800445,0.000643726,0.000549904,0.002511006,0.000741407,0.00029035,0.001158297,0.000572899,0.000438291,0.00046542,0.000811723,0.001293489,0.000546947,0.000352659,0.00031301,0.000227221,0.00061236,0.00050496,0.000461028,0.0003886,8.53E-05,0.000510109,0.000382026,0.000795097,0.000716613,6.17E-05,0.000180509
UBE2J2,0.338097006,0.166473523,0.178151175,0.330496401,0.827112138,0.165068269,0.106499448,0.246549264,0.323050886,0.085586011,0.103212498,0.41264081,0.252307922,0.286385834,0.146087021,0.256195962,0.251009911,0.287276626,0.272380561,0.268874258,0.366047293,0.095647059,0.315577984,0.10095185,0.614526808,0.260859996,0.064787246,0.123500012
LINC01786,0.000266148,0.000472184,0.000362916,0.000316615,0.00076,0.000395771,0.000218466,0.000751948,0.000361525,0.000268794,0.000287655,0.000564085,0.000442692,0.000165335,0.000227857,0.000191667,9.36E-05,0.000250915,0.000304034,0.000332877,0.00025653,4.46E-05,0.000315403,0.000251329,0.000642385,0.000276499,4.08E-05,0.000136816
SCNN1D,0.134029791,0.125232041,0.207948178,0.100941055,0.366155058,0.144303098,0.03016175,0.056792382,0.097194269,0.005100586,0.05355769,0.246276528,0.099314876,0.521752715,0.110676564,0.099386275,0.138659194,0.091098934,0.11201974,0.175466329,0.176832095,0.04882906,0.159472942,0.080889136,0.491529733,0.096363366,0.008712771,0.029219719
ACAP3,0.448920369,0.233153924,0.486061811,0.624129772,0.829006433,0.318020761,0.37719965,0.316025883,0.243025213,0.214901581,0.149266139,0.291076988,0.536262929,1.65806222,0.252561271,0.191944569,0.932428479,0.757896364,0.011095755,0.822164059,1.208122373,0.576011479,0.498257905,0.226620153,1.636016965,1.109629869,0.170249134,0.281761289
PUSL1,0.005271359,0.097560942,0.137392193,0.011740988,0.144556403,0.08874619,0.016671825,0.044998888,0.159309998,0.006115855,0.025325729,0.086793497,0.04049306,0.094972171,0.014703688,0.024234688,0.026901575,0.030107867,0.02408151,0.1421009,0.143269807,0.011930343,0.007119745,0.021990268,0.034378331,0.025721774,0.000227369,0.019591222
INTS11,0.233188167,0.210549414,0.231584921,0.346409321,0.438784331,0.098313384,0.104624465,0.249210134,0.378061891,0.042820718,0.129152969,0.343227267,0.181253195,1.010454178,0.354368865,0.337607116,0.365918219,0.215049103,0.217102811,0.360208482,0.672816992,0.276414335,0.379307866,0.219878793,1.602151155,0.383532345,0.053223286,0.095520213
AL139287.1,0.000249327,0.000439895,0.000377355,0.000338806,0.00104044,0.00029975,0.000200634,0.000742775,0.000412338,0.000276514,0.000281671,0.000523688,0.000362407,0.000155606,0.00026786,0.00017651,9.01E-05,0.000277909,0.000272459,0.000282599,0.000250427,4.27E-05,0.000280743,0.00021178,0.000470848,0.000283347,4.10E-05,0.000138482
CPTP,0.14621219,0.191396967,0.204878554,0.151705429,0.269552886,0.150376111,0.077508651,0.172788739,0.277673036,0.031712629,0.043351863,0.226295143,0.064142756,0.124475904,0.097525679,0.092334606,0.035303544,0.13824378,0.089654088,0.180959478,0.076302081,0.023293121,0.137161776,0.149777055,0.28917101,0.174267799,0.002951793,0.043130122
TAS1R3,0.008415519,0.002915064,0.000692095,0.002065197,0.019182339,0.016977115,0.000489299,0.009428314,0.000610995,0.001712773,0.006644001,0.015423108,0.000471563,0.025812319,0.010785609,0.024198947,0.003059721,0.003419153,0.008151312,0.017396441,0.001325992,0.002000922,0.004829842,0.001010221,0.049844116,0.005663314,0.000124668,0.000280826
DVL1,0.194606945,0.182629317,0.223655671,0.292473465,0.586309135,0.228527129,0.133687645,0.204379886,0.210594654,0.052462399,0.108667701,0.519696414,0.194769144,0.567567647,0.154157564,0.169119954,0.202248245,0.284336418,0.165381163,0.322504282,0.367540449,0.126909435,0.258406311,0.255012929,0.649841011,0.297405511,0.03746248,0.10229183
MXRA8,0.005653352,0.023675822,1.43E-05,0.358105868,0.276866168,0.000152437,0.00785217,1.002474427,0.067737959,0.032384228,0.042159136,0.534566045,0.017471198,0.000349692,0.119990282,0.000313605,1.80E-05,0.01022011,0.00667205,0.001012963,0.206146404,1.15E-07,0.460658789,0.51962769,0.037658006,0.068203688,0.014186257,0.004738658
AURKAIP1,0.112578444,0.306321084,0.388623476,0.18335104,0.470940083,0.137302324,0.284919888,0.316150755,0.704348624,0.054468703,0.280687392,0.409865499,0.504172385,0.150330693,0.418751657,0.393224806,0.327512383,0.343374372,0.246867925,0.568588972,0.552425086,0.133704096,0.280176729,0.400387555,0.453473806,0.213372067,0.068774238,0.333784372
CCNL2,0.418814838,0.220897973,0.321950525,0.816528082,0.729664445,0.187471449,0.221419945,0.594361901,0.458925754,0.233746141,0.228350133,0.475706577,0.309348643,1.546544313,0.284080595,0.616051555,0.496246636,0.29188931,0.276292264,0.257666856,1.227486968,0.505398989,0.677586496,0.418453485,1.510925055,0.87936002,0.153459892,0.112032883
MRPL20-AS1,0.004362443,0.049334295,0.160903648,0.051797979,0.192261919,0.070654154,0.044258695,0.075646348,0.161727831,0.001321039,0.024849519,0.115527973,0.065357618,0.096818268,0.022299442,0.08212249,0.003959707,0.0881171,0.06019998,0.135000259,0.116363272,0.006918445,0.015232576,0.036258094,0.00600539,0.05886592,0.001948857,0.017873717
MRPL20,9.31E-05,0.202278718,0.521662056,0.179890722,0.500555217,0.295976341,0.265533835,0.348332793,0.5666188,0.058808148,0.137305111,0.291895986,0.426625848,0.091403261,0.27876839,0.288924932,0.196993157,0.203603387,0.33879143,0.680189371,0.596068859,0.120045774,0.178191572,0.384128541,0.284593433,0.07022047,0.059859011,0.190995008
AL391244.2,0.023044437,0.015452001,0.026183002,0.003843506,0.019134667,0.034700029,0.002621515,0.018037645,0.005899023,0.001146453,0.01176984,0.039923593,0.009740238,0.052206967,0.009052905,0.027046131,0.020912515,0.021183901,0.028083567,0.014888591,0.040658876,0.002099836,0.00913547,0.008347794,0.011636014,0.037595991,0.003449127,0.001417539
ANKRD65,0.094508588,0.030899575,0.010200725,0.004149443,0.078197435,0.037101172,0.01232539,0.038554173,0.004718014,0.02989828,0.004713206,0.011842852,0.294903725,0.079482839,0.064545281,0.175279945,0.047020294,0.184963167,0.134177461,0.097304925,0.589701056,0.001799466,2.70E-06,9.75E-05,0.417041719,0.00574186,0.002410613,0.002975202
AL391244.1,0.00024311,0.000382647,0.000289077,0.000288325,0.000714307,0.000263602,0.000199915,0.000647411,0.000325129,0.00021563,0.000234895,0.000444378,0.000288433,0.000140369,0.000221701,0.000152743,7.98E-05,0.000230946,0.000256196,0.000261819,0.000244693,4.25E-05,0.00025273,0.000202734,0.000419352,0.000220757,4.06E-05,0.00011235
TMEM88B,0.000245687,0.000408483,0.000297482,0.000294677,0.000737013,0.000260166,0.000239048,0.000653435,0.000324907,0.000237525,0.000250667,0.000449196,0.000300337,0.000139776,0.000226118,0.000155331,8.40E-05,0.000238657,0.000267156,0.000250098,0.000230353,4.11E-05,0.000259709,0.000202802,0.00038398,0.000233773,4.13E-05,0.000115095
LINC01770,0.00023917,0.000395853,0.000308907,0.000294537,0.000712909,0.000304255,0.0001922,0.000791695,0.000346592,0.000260035,0.000245532,0.000462938,0.000297849,0.000139505,0.000224839,0.000165792,8.23E-05,0.000259654,0.000279463,0.000253,0.000297512,4.18E-05,0.000262019,0.000212411,0.000415785,0.000271937,4.38E-05,0.000116817
VWA1,0.008009502,0.057288803,0.211544633,0.060092829,0.462293833,0.058283161,0.791406512,0.767897844,0.050207548,0.07716614,0.010975157,0.189192504,0.125663072,0.029465118,0.068235688,0.040224649,7.81E-05,0.140507311,0.051748041,0.171194941,0.718203306,0.001333218,0.044715103,0.282689571,0.275154173,0.213874906,0.009311394,0.078251898
ATAD3C,0.009957481,0.023580201,0.015579978,0.000638507,0.120467871,0.010585812,0.010667446,0.037260868,0.355030864,0.006373313,0.014452462,0.043093059,0.022919036,0.027290501,0.103564262,0.003906764,0.004727036,0.02918114,0.007102215,0.013764882,0.079962082,0.001224348,0.008684579,0.022825148,0.088822439,0.056358527,0.000184134,0.036791693
ATAD3B,0.060543537,0.117448501,0.149709389,0.117160492,0.475622207,0.129106849,0.011661236,0.217098683,0.18807964,0.005033709,0.032774366,0.273208648,0.09381748,0.484091431,0.143800795,0.147681937,0.025353843,0.113209568,0.054767665,0.134764999,0.331967503,0.062317897,0.100113638,0.072205059,0.323210835,0.093456879,0.008531101,0.043454956
ATAD3A,0.080849037,0.129943788,0.1381547,0.076235585,0.281663567,0.102600329,0.041285329,0.110855229,0.400794566,0.00400942,0.017640764,0.206369027,0.183909371,0.209263489,0.014466803,0.105281405,0.032346703,0.1697267,0.110501923,0.137518033,0.236059815,0.01669584,0.050498679,0.094214521,0.15918158,0.021817237,0.008834356,0.055298727
TMEM240,0.342494816,0.190033987,0.088908434,0.206908152,0.900190651,0.078716069,0.010159852,0.043340173,0.73603934,0.033201501,0.045947257,0.230969027,0.225889623,0.503981292,0.164379612,0.087644525,0.145751983,0.381437778,0.154785886,0.057977531,0.081831552,0.116160944,0.373669893,0.087167792,1.102009416,0.159391597,0.011728966,0.074433796
SSU72,0.272405118,0.206052318,0.338381171,0.530628324,0.855726421,0.182927847,0.252274305,0.391877949,0.509800017,0.188790172,0.166732714,0.402321994,0.286402464,0.217158049,0.243613541,0.296442538,0.417338341,0.362762332,0.242696092,0.406409025,0.482224524,0.120217651,0.37554577,0.341180384,1.046449065,0.322115451,0.09020032,0.210511908
AL645728.1,0.005595722,0.015214591,0.015524252,0.008371728,0.014747225,0.013675711,0.003410964,0.008646924,0.002460845,0.000446629,0.004219042,0.021023059,0.009676803,0.016058372,0.004552863,0.030999921,0.010702152,0.002048688,0.019884495,0.00888828,0.004689165,0.002487709,0.006773217,0.001398774,0.001080128,0.002207875,0.000267289,0.000884571
FNDC10,0.037932362,0.349651933,0.133520186,0.017699137,0.507778943,0.058816411,0.018068723,0.037918437,0.358970314,0.003197932,0.007817208,0.161866978,0.11528039,0.035494816,0.002256945,0.057741836,0.031783249,0.206559345,0.063695863,0.232281938,0.133758575,0.001123196,0.062204331,0.013533935,0.053328771,0.013738992,0.005993616,0.15073584
AL691432.4,0.002682537,0.019441241,0.00609431,0.000495108,0.019543577,0.011584583,0.000320147,0.005631858,0.020952823,0.000266028,0.000612962,0.0034479,0.015662117,0.018667629,0.002250605,0.002336383,0.008041814,0.001671306,0.00644186,0.005745811,0.001334138,0.00023911,0.000278802,0.003490656,0.001951018,0.000854204,0.000221671,0.001151569
AL691432.2,0.132755384,0.101628125,0.155644476,0.198545441,0.319564521,0.119982377,0.066064589,0.084361121,0.155482009,0.02052249,0.069377549,0.301363617,0.058145784,0.114435621,0.076433323,0.111898638,0.103127196,0.118103988,0.053026177,0.182060048,0.235165089,0.006580988,0.21978578,0.163514838,0.29219538,0.115351975,0.012947152,0.029644892
MIB2,0.144207731,0.107131988,0.154183209,0.240376607,0.426638186,0.143231839,0.071016975,0.205892205,0.228134707,0.02071923,0.095493242,0.284924418,0.244215354,0.612798333,0.117706656,0.298914999,0.08099144,0.208245203,0.116124585,0.335963935,0.459868699,0.085447066,0.261377305,0.143299252,0.735666811,0.156077251,0.013493038,0.114539772
MMP23B,0.028354358,0.003931053,0.01743049,0.001488599,0.014183057,0.000527502,0.000234181,0.191705838,0.000497627,0.000641177,0.001164161,0.011149152,0.040243302,0.014567501,0.002155664,0.000395793,0.01379352,0.069363192,0.014729217,0.058028407,0.437632501,0.001610885,0.001735447,0.000349796,0.006205509,0.000722275,0.000670134,0.00661872
CDK11B,0.025683081,0.005722915,0.000637252,0.000792052,0.005848313,0.000635953,0.001087541,0.007695824,0.00708983,0.003359264,0.004659645,0.004511382,0.132015258,0.001592399,0.036658585,0.009331481,0.000291725,0.000104806,0.079082407,0.000120346,0.004758574,0.000142654,0.007018888,0.000334857,0.000385495,0.003716972,0.000883656,0.009126541
FO704657.1,0.000781677,0.002459982,0.009042192,0.000502447,0.004969085,0.003596989,0.00078479,0.00485049,0.001511747,0.0005695,0.005917879,0.002082097,0.004590884,0.003887197,0.006265829,0.000834585,0.000980561,0.00133048,0.005464689,0.001094541,0.008080674,0.000274287,0.005718647,0.000724649,0.000750953,0.005105916,9.90E-05,0.000592618
SLC35E2B,0.026347212,0.051643725,0.059301782,0.695404172,0.880968869,0.417534918,0.002062613,0.279207557,0.078034863,0.037201293,0.021085097,0.193659544,0.007199826,0.274498761,0.080865741,0.048802987,0.132061943,0.012529619,0.177781805,1.032343745,0.33401829,0.145397946,0.409482688,0.109912723,0.488640338,0.420338422,0.019686779,0.02634299
CDK11A,0.045325235,0.018600192,0.08981432,0.108635575,0.176497266,0.122368097,0.009606607,0.042367145,0.010301995,0.001381689,0.023494476,0.093576401,0.007144,0.12773627,0.078555502,0.000188022,0.086751491,0.116041511,0.048570488,0.146237046,0.065706305,0.005851376,0.010636028,0.025912054,0.173393995,0.077022076,0.000512285,0.010065297
SLC35E2A,0.542613149,0.10632018,0.649970651,0.198060125,0.220319077,0.034380879,0.002887886,0.040021185,0.097624436,0.000185969,0.04569323,0.131934464,0.676282525,0.353742093,0.544968486,0.113800138,0.034428362,0.425455749,0.720908165,1.78E-05,0.515465736,0.125089318,0.000474813,0.050087716,0.024390487,0.293665409,0.009224698,0.048907746
NADK,0.103927501,0.136740401,0.222813025,0.237151101,0.421970218,0.099769197,0.090551823,0.307879001,0.216400653,0.051564537,0.082125373,0.41205889,0.118584163,0.244439214,0.067315795,0.175208315,0.17785506,0.149440333,0.217258573,0.224900976,0.327149212,0.056561023,0.13217257,0.244815245,0.214728177,0.132737234,0.019423177,0.026335731
GNB1,0.659743369,0.670799255,0.703440845,1.416882157,1.206379294,0.387965262,0.837088287,0.66295594,1.404203773,0.398331195,0.305727184,0.64418596,0.386684328,0.572685301,0.456708163,0.793295324,0.931726038,0.569999039,0.685679257,0.484121799,0.980348349,0.68315351,0.634157777,0.712788701,0.940785527,1.234689116,0.417634785,0.413439661
AL109917.1,0.000456169,0.008079777,0.0028172,0.000733764,0.002023736,0.006056967,0.000638675,0.002350261,0.002351405,0.000408116,0.000918544,0.004187224,0.00301384,0.001264242,0.000997296,0.001224869,0.000504389,0.003053768,0.007098228,0.001056101,0.001649355,0.000247099,0.000317802,0.002019894,0.000515269,0.000975332,0.00012878,0.000761276
