,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9,Pattern_10,Pattern_11,Pattern_12,Pattern_13,Pattern_14,Pattern_15,Pattern_16,Pattern_17,Pattern_18,Pattern_19,Pattern_20,Pattern_21,Pattern_22,Pattern_23,Pattern_24,Pattern_25,Pattern_26,Pattern_27,Pattern_28
MAP4,0.501998544,0.586243749,0.298512757,0.597518086,2.029265165,0.354424447,1.204499125,0.461949795,2.729628563,0.861763179,0.146815404,0.548514545,0.589912415,0.17124404,0.174979612,0.265065104,0.466611147,0.706586182,0.446799368,0.603480935,0.175283894,0.246359259,0.442314953,0.281700075,0.870276153,0.672527254,0.254413456,0.57032758
CDC25A,0.000906593,0.05130491,0.013671083,0.036441591,0.089338772,0.010543306,0.000442886,0.023546595,0.015376783,0.001132568,0.007715935,0.108189642,0.005456751,0.001227983,0.005885409,0.00401845,0.001041781,0.010438853,0.009208492,0.00239018,0.129509658,0.000378347,0.019842984,0.015350894,0.000891099,0.026957905,0.000103997,0.006525931
CAMP,0.000256822,0.000471107,0.000367062,0.000311972,0.000787864,0.000276917,0.000222859,0.000776227,0.000398547,0.000258684,0.000314635,0.000565582,0.000334756,0.000158369,0.00026715,0.000172163,8.83E-05,0.000251717,0.000313564,0.000279694,0.000334643,4.35E-05,0.00033749,0.000283559,0.000428093,0.000366189,4.40E-05,0.000151589
ZNF589,0.064572193,0.078916349,0.036017757,0.01897396,0.091169506,0.095774412,0.004350317,0.028046511,0.019088443,0.011989494,0.02910501,0.045894112,0.137513071,0.210073829,0.031740516,0.09730009,0.05495185,0.061963327,0.085506663,0.046729267,0.135751501,0.011373957,0.011354456,0.005832318,0.137884289,0.041114423,0.000742517,0.011152244
NME6,0.009677766,0.014431618,0.021505248,0.01398391,0.033499524,0.033623926,0.008934557,0.080840968,0.038827103,0.013576605,0.017568419,0.083745964,0.029755769,0.008982815,0.024476534,0.002916394,0.016465321,0.008258288,0.024747947,0.04543313,0.041416056,0.000939786,0.038876496,0.01970364,0.009874648,0.035325103,0.004078049,0.009438977
SPINK8,0.001473337,0.003361833,0.007176945,0.003603977,0.008594542,0.002239538,0.002162431,0.062270634,0.001248736,0.006106784,0.001528874,0.002731148,0.004328715,0.00135307,0.000153485,0.000849411,0.003809297,0.002458791,0.004343127,0.02065515,0.001373909,0.000202923,0.000155735,0.00157184,0.008402617,0.000564751,0.000458719,0.006101073
FBXW12,0.001205188,0.00400848,0.00107826,0.000685158,0.0072171,0.001710042,0.000401225,0.002267525,0.000988346,0.000381099,0.000968449,0.002874698,0.001058484,0.000775761,0.001549182,0.001102557,0.000298421,0.000797204,0.001577182,0.001350189,0.000643422,0.000164172,0.002417186,0.000643516,0.000889428,0.002098654,8.38E-05,0.000299698
PLXNB1,0.169669971,0.093783893,0.182496458,0.557834089,0.321930408,0.123840585,0.420841277,0.133384988,0.150008127,0.040435821,0.315737009,0.622464895,0.280016989,0.82070893,0.181504369,0.314038426,0.098130703,0.294873327,0.260673821,0.192083448,0.468761593,0.205481261,0.377581269,0.814003885,0.334411711,0.414638638,0.016132394,0.040953878
CCDC51,0.016758123,0.100323968,0.06203445,0.0324638,0.207295537,0.055723749,0.013968493,0.064959772,0.196302578,0.004909644,0.037658859,0.109458476,0.049232554,0.038161382,0.043015551,0.03159906,0.06372004,0.014372799,0.058594879,0.103942975,0.101092614,0.003756644,0.027714115,0.040752508,0.031637568,0.055467669,0.009048293,0.019219069
TMA7,0.351407975,0.330055654,0.936177671,0.740108609,1.061708212,0.44887197,0.869760811,0.904431462,0.997073889,0.26779744,0.473859757,0.944329858,0.488827437,0.49464196,0.961043239,0.619061768,0.892456234,0.231434688,0.723029971,0.772798955,1.814807177,0.800596595,0.739339709,0.84590435,0.915666759,0.522426844,0.545650542,0.699350715
AC134772.1,0.000252911,0.000427275,0.000309018,0.000305843,0.000756334,0.000296883,0.000193337,0.00068943,0.000356754,0.000238141,0.000245722,0.000464791,0.00037193,0.000142913,0.000244128,0.00016778,8.69E-05,0.000227014,0.000281484,0.000263631,0.000237678,4.34E-05,0.000266625,0.000212006,0.000404596,0.000253218,4.03E-05,0.000115195
