"","cell","trait","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"1","Pattern_11","Demontis 2023 -  Attention Deficit Hyperactivity Disorder",0.214497226949887,0.248889733884901,0.0133583558467236,1.16034010054149,0.0622775223562428,0.0101481896944627,3.05680962383444e-09,1.43026984659531e-09,2.13722580470464,0.0325796301699723,0.240727267367018
"2","Pattern_11","Grove 2019  - Autism Spectrum Disorder",0.214497226949887,0.210713832413934,0.0273840143239945,0.982361569006035,0.127666052906093,0.889639947711043,-2.39163543535613e-09,5.08052871206743e-09,-0.470745383187274,0.637822571382844,0.855252950159226
"3","Pattern_11","Chambers_total_cerebellar_volume",0.214497226949887,0.34479696409544,0.0244351126714869,1.6074658353322,0.113918081920918,4.14615347598814e-08,2.35751535700645e-08,9.52781765111173e-09,2.47434978641868,0.0133478939119768,0.163243208302796
"4","Pattern_11","Davies reaction time",0.214497226949887,0.241927913857056,0.0130048225269811,1.12788364351945,0.0606293270636055,0.0387296208450217,1.19090620796503e-09,1.18707699721161e-09,1.00322574758201,0.315751952713141,0.65171693052722
"5","Pattern_11","Gui_age_onset_walking",0.214497226949887,0.238134166330794,0.0165443494814046,1.11019694621241,0.0771308315574161,0.152661503792472,6.7211354133034e-09,4.02418828311769e-09,1.67018413166699,0.0948829385830632,0.389789369314205
"6","Pattern_11","Huang_neurodev_disorders",0.214497226949887,0.256173796526454,0.135606222657525,1.19429887355282,0.632205015355312,0.755180708966273,1.71133031521638e-09,5.93206299362314e-09,0.288488223583605,0.772973043737509,0.919404250616361
"7","Pattern_11","Lee_cognitive_performance",0.214497226949887,0.260364599925401,0.0100981878488857,1.21383667112037,0.0470784074576634,7.5970207507173e-06,9.74944322166445e-10,4.27910585388469e-10,2.2783832778555,0.0227037518253678,0.204375818058278
"8","Pattern_11","Lee_educ_attainment",0.214497226949887,0.244127487244978,0.00776975429465637,1.13813819747895,0.036223099035549,0.000176187815492223,1.3450074144255e-09,5.49915438802909e-10,2.44584406895977,0.0144513486362172,0.165800738003263
"9","Pattern_11","Alzheimer's Disease",0.214497226949887,0.40776882932263,0.0640530031666085,1.90104475997677,0.298619259919725,0.00082915563364371,1.2319509435157e-09,4.14101470677336e-09,0.297499774994914,0.766084979749485,0.918790292361247
"10","Pattern_11","Anorexia Nervosa",0.214497226949887,0.20784928098104,0.0275175231900498,0.969006844221816,0.128288479908781,0.80879311533373,-1.10245355819484e-09,6.69073388953036e-09,-0.16477318877081,0.869122507821179,0.959416505635383
"11","Pattern_11","Autism Spectrum Disorder",0.214497226949887,0.208363191094906,0.0270301308963834,0.97140272654241,0.126016225387839,0.819009578695613,6.09847530968377e-09,1.7604803375781e-08,0.346409737133075,0.72903480842671,0.903636929502467
